Welk document ligt nog thuis?|Which document is still at home?|کدام مدرک هنوز در خانه است؟
Goedendag, bij deze saus vind ik de ingrediënten en allergenen niet duidelijk terug op de kaart. Wilt u dat in de keuken navragen? Ik kies pas als ik de informatie heb. Gok alstublieft niet als u het niet weet.|Hello, I cannot clearly find this sauce's ingredients and allergens on the menu. Could you check in the kitchen? I will choose after getting the information. Please do not guess if you do not know.|سلام، مواد و حساسیت‌زاهای سس در منو روشن نیست. از آشپزخانه می‌پرسید؟ بعد از اطلاعات انتخاب می‌کنم. لطفاً اگر نمی‌دانید حدس نزنید.
Ik vraag de ingrediënten en allergenen in de keuken na en kom met de beschikbare informatie terug. U kunt daarna kiezen. Wat ik niet kan bevestigen, zal ik duidelijk zeggen.|I will ask the kitchen about ingredients and allergens and return with the available information. You can choose afterwards. I will clearly say what I cannot confirm.|مواد و حساسیت‌زاها را از آشپزخانه می‌پرسم و با اطلاعات برمی‌گردم. بعد انتخاب کنید. هرچه نتوانم تأیید کنم، روشن می‌گویم.

Waarom vraagt het gezin naar de wachttijd?|Why does the family ask about waiting time?|چرا خانواده زمان انتظار را می‌پرسد؟
Hun trein vertrekt vroeg.|Their train leaves early.|قطارشان زود حرکت می‌کند.
Ze willen de hele namiddag blijven.|They want to stay all afternoon.|می‌خواهند تمام بعدازظهر بمانند.
Goedendag, onze trein vertrekt vroeg en we hebben maar een uur. Welke gerechten zijn snel klaar? We willen ook weten hoe we kunnen betalen. Kunt u de wachttijd eerlijk aangeven, zodat we op tijd onze rekening kunnen vragen?|Hello, our train leaves early and we only have an hour. Which dishes are quick? We also want to know how to pay. Could you give an honest waiting time so we can ask for the bill in time?|سلام، قطارمان زود حرکت می‌کند و فقط یک ساعت داریم. کدام غذا زود آماده است و چطور پرداخت کنیم؟ زمان انتظار را دقیق بگویید تا صورت‌حساب را به‌موقع بخواهیم.
Ik vraag de keuken welke gerechten snel klaar zijn en geef de wachttijd door. Daarna kunt u kiezen of dat binnen uw uur past. Ik leg ook de betaalmogelijkheden uit.|I will ask the kitchen which dishes are quick and give you the waiting time. Then you can decide whether it fits your hour. I will explain payment options too.|از آشپزخانه غذای سریع و زمان انتظار را می‌پرسم. بعد تصمیم بگیرید در یک ساعت جا می‌شود یا نه. روش پرداخت را هم توضیح می‌دهم.

Wat vergelijkt An behalve de prijs van de waterkokers?|What does An compare besides the kettles' prices?|آن علاوه بر قیمت کتری‌ها چه مقایسه می‌کند؟
Kwaliteit, levensduur, garantie en herkomst.|Quality, lifespan, warranty and origin.|کیفیت، عمر، ضمانت و محل ساخت.
Alleen de kleur van de verpakking.|Only the packaging colour.|فقط رنگ بسته‌بندی.
Goedendag, deze twee waterkokers verschillen sterk in prijs. Kunt u uitleg geven over de kwaliteit, levensduur, garantie en herkomst? Niet alles staat op de doos. Zeg gerust welke informatie niet beschikbaar is.|Hello, these two kettles differ greatly in price. Could you explain their quality, lifespan, warranty and origin? Not everything is on the box. Please say which information is unavailable.|سلام، قیمت این دو کتری خیلی فرق دارد. درباره کیفیت، عمر، ضمانت و محل ساخت توضیح می‌دهید؟ همه‌چیز روی جعبه نیست. اطلاعات ناموجود را هم بگویید.
Ik vergelijk de beschikbare productinformatie met u. Wat niet op de doos staat, zoek ik na. Ik maak duidelijk onderscheid tussen bevestigde gegevens en eigenschappen waarover we geen informatie hebben.|I will compare the available product information with you and look up what is missing. I will distinguish confirmed details from properties we have no information about.|اطلاعات موجود را با شما مقایسه و کمبود را جست‌وجو می‌کنم. داده تأییدشده را از ویژگی نامعلوم جدا می‌کنم.

Wat controleert Faris voordat hij een lunchdoos kiest?|What does Faris check before choosing a lunch box?|فارس پیش از انتخاب ظرف غذا چه بررسی می‌کند؟
Of de doos in zijn tas past.|Whether the box fits in his bag.|آیا ظرف در کیفش جا می‌شود.
Of de kleur precies bij de winkel past.|Whether the colour matches the shop.|آیا رنگ با فروشگاه جور است.
Hoi Faris, die lunchdoos ziet er mooi uit, maar controleer ook het gewicht en of ze in je tas past. Het etiket over houdbaarheid gaat over het eten erin. Kun je het kleinere model naast dit model leggen?|Hi Faris, that lunch box looks good, but check the weight and whether it fits your bag. The shelf-life label refers to the food inside. Can you put the smaller model beside it?|سلام فارس، ظرف زیباست ولی وزن و جا شدن در کیف را بررسی کن. تاریخ ماندگاری مربوط به غذای داخل است. مدل کوچک‌تر را کنارش می‌گذاری؟
Ik vergelijk de twee formaten en probeer het kleinere model in mijn tas. Voor dagelijks gebruik zijn gewicht en pasvorm belangrijk. De houdbaarheidsdatum verwar ik niet met de levensduur van de doos.|I will compare both sizes and try the smaller model in my bag. Weight and fit matter for daily use. I will not confuse food expiry with the box's lifespan.|دو اندازه را مقایسه و مدل کوچک را در کیف امتحان می‌کنم. وزن و اندازه برای هرروز مهم‌اند. تاریخ غذا را با عمر ظرف اشتباه نمی‌گیرم.

Wat noteert Noor bij uitspraken in de media?|What does Noor note beside statements in the media?|نور کنار گفته‌های رسانه چه یادداشت می‌کند؟
Wie iets zegt en welk bewijs erbij staat.|Who says it and what evidence accompanies it.|گوینده و شواهد همراه.
Alleen hoeveel mensen het bericht leuk vinden.|Only how many people like it.|فقط تعداد پسندها.
Hallo leesgroep, noteer bij elke uitspraak wie ze doet en welk bewijs genoemd wordt. Een persoonlijke ervaring geldt niet vanzelf voor iedereen. Kies één zin uit het artikel en leg uit of die een ervaring, mening of onderbouwde uitspraak beschrijft.|Hello reading group, note who makes each statement and what evidence is mentioned. One person's experience does not automatically apply to everyone. Choose one sentence and explain whether it describes an experience, opinion or supported claim.|سلام گروه مطالعه، گوینده هر جمله و شواهدش را بنویسید. تجربه یک نفر خودبه‌خود برای همه نیست. یک جمله انتخاب و بگویید تجربه، نظر یا ادعای مستند است.
Ik kies één uitspraak en zoek eerst de spreker. Daarna kijk ik welk bewijs erbij staat. Ik leg uit waarom die uitspraak wel of niet over meer mensen kan gaan.|I will choose a statement and identify its speaker first. Then I will check the evidence and explain whether it can apply to more people.|یک گفته انتخاب می‌کنم و اول گوینده را پیدا می‌کنم. بعد شواهد را می‌بینم و توضیح می‌دهم آیا می‌تواند درباره افراد بیشتری باشد.

Wat ontdekt Lars bij de oorspronkelijke publicatie?|What does Lars discover in the original publication?|لارس در انتشار اصلی چه می‌فهمد؟
De aangekondigde activiteit is al voorbij.|The advertised event has already happened.|فعالیت اعلام‌شده گذشته است.
De activiteit begint pas volgend jaar.|The event starts next year.|فعالیت سال بعد شروع می‌شود.
Dag buurtchat, ik heb de oorspronkelijke publicatie van de aankondiging bekeken. De datum is oud en de activiteit is al voorbij. Deel het bericht dus niet als een nieuwe uitnodiging. Ik wilde dat even vriendelijk rechtzetten.|Hello neighbourhood chat, I checked the announcement's original publication. The date is old and the event is over. Please do not share it as a new invitation. I wanted to correct that politely.|سلام گروه محله، انتشار اصلی اعلان را دیدم. تاریخ قدیمی است و برنامه گذشته. آن را دعوت تازه منتشر نکنید؛ خواستم دوستانه اصلاح کنم.
Bedankt om de datum te controleren. Ik deel het bericht niet verder als nieuwe activiteit. Volgende keer kijk ik eerst naar de oorspronkelijke publicatie voordat ik het doorstuur.|Thanks for checking the date. I will not share it as a new event. Next time I will check the original publication before forwarding.|ممنون که تاریخ را بررسی کردی. به‌عنوان برنامه تازه پخش نمی‌کنم. دفعه بعد پیش از فرستادن، انتشار اصلی را می‌بینم.

Wat dachten sommige deelnemers ten onrechte over de inschrijving?|What did some participants wrongly assume about registration?|بعضی شرکت‌کنندگان درباره ثبت‌نام چه فرض اشتباهی داشتند؟
Dat vervoer inbegrepen was.|That transport was included.|اینکه رفت‌وآمد شامل آن است.
Dat er helemaal geen zaal was.|That there was no hall at all.|اینکه اصلاً سالن نیست.
Beste deelnemers, inschrijven voor de activiteit betekent niet dat vervoer inbegrepen is. Zaal en catering zijn geregeld. Wie samen wil reizen, kan met andere deelnemers afspreken. Laat weten als hierover nog onduidelijkheid is.|Dear participants, registering for the activity does not include transport. The hall and catering are arranged. Anyone wanting to travel together can arrange it with other participants. Say if anything remains unclear.|شرکت‌کنندگان عزیز، ثبت‌نام رفت‌وآمد را شامل نمی‌شود. سالن و پذیرایی آماده است. برای سفر مشترک با دیگران هماهنگ کنید. اگر مبهم است بگویید.
Ik begrijp nu dat ik mijn vervoer zelf moet regelen. Ik vraag andere deelnemers of we samen kunnen reizen. Kunt u nog doorgeven waar en wanneer we verwacht worden?|I now understand I must arrange transport myself. I will ask others about travelling together. Could you confirm where and when we are expected?|حالا فهمیدم رفت‌وآمد را خودم هماهنگ کنم. از بقیه درباره همراهی می‌پرسم. می‌گویید کی و کجا باید باشیم؟

Hoe controleert de vrijwilliger de bewegwijzering?|How does the volunteer check the signs?|داوطلب تابلوهای راهنما را چطور بررسی می‌کند؟
Hij loopt de route alsof hij voor het eerst komt.|He walks the route as a first-time visitor.|مثل بازدیدکننده باراول مسیر را می‌رود.
Hij bekijkt alleen de geluidsinstallatie.|He only checks the sound system.|فقط دستگاه صدا را بررسی می‌کند.
Dag vrijwilliger, bezoekers lopen verkeerd ondanks het duidelijke programma. Loop de route eens alsof je hier voor het eerst bent. Kijk vooral naar het bord bij de deur. Meld welke aanduiding mensen naar de verkeerde zaal stuurt.|Hello volunteer, visitors go the wrong way despite the clear programme. Walk the route as if visiting for the first time. Check the sign by the door especially. Report which sign sends people to the wrong hall.|سلام داوطلب، با وجود برنامه روشن، مردم اشتباه می‌روند. مثل باراول مسیر را برو و به تابلوی در دقت کن. بگو کدام علامت به سالن اشتباه می‌فرستد.
Ik volg de route vanaf de ingang zonder voorkennis. Daarna wijs ik het verkeerde bord aan en stel een betere plaats voor. Vervolgens controleer ik of een bezoeker zonder hulp de zaal vindt.|I will follow the route from the entrance without prior knowledge. Then I will identify the wrong sign and suggest a better position, and check whether a visitor finds the hall unaided.|از ورودی بدون آشنایی قبلی مسیر را می‌روم. تابلوی اشتباه و جای بهتر را مشخص می‌کنم؛ بعد می‌بینم بازدیدکننده بی‌کمک سالن را پیدا می‌کند یا نه.

Welke fout maakt Dina in haar vraagzin?|What mistake does Dina make in her question?|دینا در سؤال چه اشتباهی می‌کند؟
Een verkeerde werkwoordsvorm.|An incorrect verb form.|شکل اشتباه فعل.
Een verkeerd adres van de zaal.|An incorrect hall address.|نشانی اشتباه سالن.
Hoi Dina, in je vraagzin staat een verkeerde werkwoordsvorm. Laten we nu alleen dat punt verbeteren. Gebruik de vraag daarna opnieuw met andere woorden. Zo oefenen we de vorm, niet alleen één zin die je uit het hoofd kent.|Hi Dina, your question has an incorrect verb form. Let us correct just that point now. Then use the question with different words. We are practising the form, not only a memorised sentence.|سلام دینا، شکل فعل سؤالت اشتباه است. الان فقط همان را درست کنیم؛ بعد سؤال را با واژه دیگر به کار ببر. شکل را تمرین می‌کنیم، نه فقط یک جمله حفظی.
Ik verbeter eerst de werkwoordsvorm en zeg de vraag opnieuw. Daarna maak ik een nieuwe vraag met dezelfde vorm. Kun je controleren of ik die nu ook zelfstandig gebruik?|I will correct the verb form and repeat the question. Then I will make a new question using the same form. Can you check whether I use it independently now?|اول شکل فعل را درست و سؤال را تکرار می‌کنم. بعد سؤال تازه با همان شکل می‌سازم. بررسی می‌کنی حالا مستقل استفاده می‌کنم یا نه؟

Wat wil Tom met zijn neutralere vraag bereiken?|What does Tom want to achieve with his more neutral question?|تام با سؤال خنثی‌تر چه می‌خواهد؟
De afspraak controleren zonder iemand te beschuldigen.|Check the agreement without accusing anyone.|بررسی توافق بدون متهم کردن کسی.
De ander met nadruk verwijten maken.|Strongly reproach the other person.|سرزنش شدید طرف مقابل.
Hoi Tom, door de klemtoon klonk je vraag verwijtend. Je wilt eigenlijk onze afspraak controleren. Probeer: Kunt u onze afspraak even herhalen? Luister daarna naar beide opnames en vergelijk de toon, niet alleen de woorden.|Hi Tom, the stress made your question sound accusatory. You actually want to check our agreement. Try: Could you repeat our agreement? Then listen to both recordings and compare the tone, not only the words.|سلام تام، تکیه سؤالت را سرزنش‌آمیز کرد. در واقع می‌خواهی توافق را بررسی کنی. بگو: توافقمان را تکرار می‌کنید؟ بعد هر دو ضبط را بشنو و لحن را هم مقایسه کن.
Ik wil de afspraak controleren, niet iemand beschuldigen. Daarom probeer ik de neutralere vraag en luister ik terug naar mijn klemtoon. Daarna vergelijk ik beide versies met mijn oefenpartner.|I want to check the agreement, not accuse anyone. I will try the neutral question and listen to my stress. Then I will compare both versions with my partner.|می‌خواهم توافق را بررسی کنم، نه کسی را متهم کنم. سؤال خنثی را می‌گویم و تکیه را می‌شنوم. بعد دو نسخه را با همراهم مقایسه می‌کنم.
